trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1014,False,"{'a': 0.1, 'e': 0.6543576170934896}",20,7,-57.25315581480436,"{0: 6, 1: 0, 2: 7, 3: 0, 4: 0}",1
1015,False,"{'a': 0.1, 'e': 0.7425916633979387}",25,0,-149.86964078359506,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
1016,False,"{'a': 0.1, 'e': 0.8249816725364096}",20,0,-78.57533382785094,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
1017,False,"{'a': 0.1, 'e': 0.8813396542131323}",20,0,-59.37299743902103,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
1018,False,"{'a': 0.1, 'e': 0.897854952484957}",20,0,-95.85007611376955,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
1019,False,"{'a': 0.1, 'e': 0.8704737812830006}",30,0,-212.54602525112762,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
1020,False,"{'a': 0.1, 'e': 0.8058894503385976}",20,0,-60.47740468682626,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
1021,False,"{'a': 0.1, 'e': 0.7199013984543721}",25,13,-7.04984431190136,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
1022,False,"{'a': 0.1, 'e': 0.6335453413532834}",20,0,-102.81952145786931,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
1023,False,"{'a': 0.1, 'e': 0.5679424002483682}",25,12,-39.881981252569354,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
1024,False,"{'a': 0.1, 'e': 0.5391284696749307}",25,11,-8.340937046816208,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
1025,False,"{'a': 0.1, 'e': 0.5541296398057506}",25,0,-117.40185647886044,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
1026,False,"{'a': 0.1, 'e': 0.6092441627006194}",20,0,-89.65571568125112,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
1027,False,"{'a': 0.1, 'e': 0.6909510588828255}",20,0,-98.82748283860303,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
1028,False,"{'a': 0.1, 'e': 0.7792223450954161}",30,0,-152.5065199611392,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
1029,False,"{'a': 0.1, 'e': 0.8524274886622863}",20,0,-50.965201981032365,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
1030,False,"{'a': 0.1, 'e': 0.8926290852651382}",20,0,-118.20161115246518,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
1031,False,"{'a': 0.1, 'e': 0.8899732500834159}",20,0,-47.279570253184644,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
1032,False,"{'a': 0.1, 'e': 0.8451001224108143}",30,16,-18.67633507228836,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
